,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
250,8.0,4.0,2.0,,16.0,8.0,2.0,,32.0,8.0,2.0,,32.0,8.0,,,348,d
251,,2.0,,,8.0,4.0,,,16.0,8.0,2.0,,64.0,16.0,4.0,,432,w
252,2.0,,2.0,,8.0,4.0,,,16.0,8.0,2.0,,64.0,16.0,4.0,,432,w
253,4.0,,,,8.0,4.0,,2.0,16.0,8.0,2.0,,64.0,16.0,4.0,,436,w
254,4.0,2.0,,,8.0,4.0,2.0,,16.0,8.0,2.0,,64.0,16.0,4.0,,436,a
255,4.0,2.0,4.0,,8.0,4.0,4.0,2.0,16.0,8.0,,,64.0,16.0,,,440,w
256,4.0,2.0,4.0,,8.0,8.0,2.0,,16.0,8.0,2.0,,64.0,16.0,,,448,w
257,4.0,2.0,4.0,4.0,16.0,2.0,,,16.0,8.0,2.0,,64.0,16.0,,,464,w
258,4.0,2.0,8.0,,16.0,2.0,,,16.0,8.0,2.0,,64.0,16.0,,4.0,472,w
259,4.0,2.0,8.0,,16.0,2.0,,,16.0,8.0,2.0,,64.0,16.0,4.0,2.0,472,d
